Município;Sim;Não;Total
130006 AMATURA;-;27;27
130010 ANORI;-;1;1
130020 ATALAIA DO NORTE;-;4;4
130030 AUTAZES;-;36;36
130060 BENJAMIN CONSTANT;-;6;6
130063 BERURI;-;6;6
130070 BOCA DO ACRE;-;11;11
130080 BORBA;-;4;4
130090 CANUTAMA;-;2;2
130140 EIRUNEPE;-;1;1
130150 ENVIRA;-;1;1
130170 HUMAITA;-;10;10
130190 ITACOATIARA;-;35;35
130200 ITAPIRANGA;-;1;1
130210 JAPURA;-;1;1
130250 MANACAPURU;2;39;41
130255 MANAQUIRI;-;1;1
130260 MANAUS;-;995;995
130270 MANICORE;-;9;9
130290 MAUES;-;5;5
130310 NOVA OLINDA DO NORTE;-;3;3
130320 NOVO AIRAO;-;2;2
130340 PARINTINS;3;20;23
130356 RIO PRETO DA EVA;2;12;14
130360 SANTA ISABEL DO RIO NEGRO;-;1;1
130370 SANTO ANTONIO DO ICA;-;6;6
130380 SAO GABRIEL DA CACHOEIRA;-;4;4
130400 SILVES;-;5;5
130406 TABATINGA;-;31;31
130420 TEFE;-;1;1
Total;7;1280;1287